City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ponta Do Sol,PT,73.0,scattered clouds,32.6667,-17.1,Hotel do Campo
3,Stuttgart,DE,75.96,few clouds,48.7823,9.177,Hotel Unger
5,San Jose,US,73.53,broken clouds,37.3394,-121.895,The Westin San Jose
9,Meulaboh,ID,75.74,moderate rain,4.1363,96.1285,Kost Pria
13,Saint-Philippe,RE,72.99,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Abong Mbang,CM,76.3,light rain,3.9833,13.1833,Auberge Angle Sur
20,Butaritari,KI,81.18,broken clouds,3.0707,172.7902,Isles Sunset Lodge
25,Pasni,PK,83.12,clear sky,25.2631,63.471,Kashmiri Hotal
27,Lompoc,US,70.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
28,Galesong,ID,77.02,clear sky,-5.3166,119.3661,Sapriadi Appy
29,Tomatlan,MX,82.96,few clouds,19.9333,-105.25,El Salvial
30,Rikitea,PF,77.23,scattered clouds,-23.1203,-134.9692,People ThankYou
33,Naze,JP,70.39,overcast clouds,28.3667,129.4833,Shishime Hotel
39,Caravelas,BR,79.43,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
40,San Angelo,US,71.55,overcast clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
43,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
47,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
48,Acoua,YT,78.71,clear sky,-12.7239,45.0582,Gîte de Mliha
51,Barcelona,ES,89.8,clear sky,41.3888,2.159,Axel Hotel Barcelona
52,Gizo,SB,81.27,light rain,-8.103,156.8419,Imagination Island
54,Vanimo,PG,77.92,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
56,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,Kavieng,PG,80.92,broken clouds,-2.5744,150.7967,Nusa Island Retreat
63,Guangyuan,CN,74.89,broken clouds,32.442,105.823,Guangyuan Poetry Hotel
64,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
65,Faanui,PF,78.85,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Atuona,PF,78.22,light rain,-9.8,-139.0333,Villa Enata
72,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
