City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ponta Do Sol,PT,32.6667,-17.1,73.0,72,50,12.41,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,37.02,75,0,4.61,clear sky
2,Hailar,CN,49.2,119.7,56.75,59,100,15.77,overcast clouds
3,Stuttgart,DE,48.7823,9.177,75.96,52,20,3.44,few clouds
4,New Norfolk,AU,-42.7826,147.0587,40.91,82,100,2.71,overcast clouds
5,San Jose,US,37.3394,-121.895,73.53,63,75,8.05,broken clouds
6,Tasiilaq,GL,65.6145,-37.6368,33.96,91,85,2.73,overcast clouds
7,Kaitangata,NZ,-46.2817,169.8464,46.76,87,100,13.33,overcast clouds
8,Busselton,AU,-33.65,115.3333,55.85,76,94,8.03,overcast clouds
9,Meulaboh,ID,4.1363,96.1285,75.74,89,100,4.54,moderate rain
10,Upernavik,GL,72.7868,-56.1549,29.16,60,100,0.98,overcast clouds
11,Bhan,PK,26.5583,67.7214,101.55,11,0,14.67,clear sky
12,Mataura,NZ,-46.1927,168.8643,46.47,94,100,6.98,overcast clouds
13,Saint-Philippe,RE,-21.3585,55.7679,72.99,73,21,3.6,few clouds
14,Hobart,AU,-42.8794,147.3294,41.27,88,100,5.75,overcast clouds
15,Bluff,NZ,-46.6,168.3333,46.8,79,100,19.19,overcast clouds
16,Vaini,TO,-21.2,-175.2,75.36,94,20,5.75,few clouds
17,Abong Mbang,CM,3.9833,13.1833,76.3,75,100,4.7,light rain
18,Ballina,AU,-28.8667,153.5667,49.01,94,17,5.48,few clouds
19,Ancud,CL,-41.8697,-73.8203,44.22,71,100,5.23,overcast clouds
20,Butaritari,KI,3.0707,172.7902,81.18,70,66,4.21,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,41.02,87,20,6.91,few clouds
22,Klaksvik,FO,62.2266,-6.589,50.92,83,4,8.1,clear sky
23,Mar Del Plata,AR,-38.0023,-57.5575,49.95,56,52,4.0,broken clouds
24,Ponta Delgada,PT,37.7333,-25.6667,65.12,88,75,10.36,broken clouds
25,Pasni,PK,25.2631,63.471,83.12,79,1,19.55,clear sky
26,Fairbanks,US,64.8378,-147.7164,60.76,57,75,0.0,broken clouds
27,Lompoc,US,34.6391,-120.4579,70.84,81,0,0.0,clear sky
28,Galesong,ID,-5.3166,119.3661,77.02,81,3,6.02,clear sky
29,Tomatlan,MX,19.9333,-105.25,82.96,50,15,4.56,few clouds
