City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lavrentiya,RU,2022-05-30 19:00:31,65.5833,-171.0,37.38,89,92,3.74
1,Chokurdakh,RU,2022-05-30 19:00:31,70.6333,147.9167,32.99,82,82,10.49
2,Saldanha,ZA,2022-05-30 19:00:31,-33.0117,17.9442,56.93,69,1,4.83
3,Mazatlan,MX,2022-05-30 18:56:09,23.2167,-106.4167,87.03,77,6,5.01
4,Nelidovo,RU,2022-05-30 19:00:32,56.2211,32.7774,51.87,86,100,5.5
5,Mecca,SA,2022-05-30 19:00:02,21.4267,39.8261,90.7,20,2,6.89
6,Albany,US,2022-05-30 19:00:32,42.6001,-73.9662,87.58,49,45,7.29
7,Torbay,CA,2022-05-30 19:00:32,47.6666,-52.7314,66.27,72,36,5.01
8,Puerto Ayora,EC,2022-05-30 19:00:33,-0.7393,-90.3518,74.16,80,87,9.78
9,Pevek,RU,2022-05-30 19:00:33,69.7008,170.3133,33.87,83,100,1.63
10,Lebu,CL,2022-05-30 19:00:33,-37.6167,-73.65,48.24,63,0,12.64
11,Ventersburg,ZA,2022-05-30 19:00:34,-28.0856,27.1381,45.79,39,0,5.7
12,Castro,BR,2022-05-30 19:00:34,-24.7911,-50.0119,63.41,96,100,7.27
13,Port Blair,IN,2022-05-30 19:00:34,11.6667,92.75,81.84,85,90,15.35
14,Bluff,NZ,2022-05-30 19:00:35,-46.6,168.3333,51.8,77,100,16.31
15,Ushuaia,AR,2022-05-30 19:00:35,-54.8,-68.3,38.64,99,100,5.59
16,Marystown,CA,2022-05-30 19:00:36,47.1666,-55.1483,54.86,100,99,10.22
17,Provideniya,RU,2022-05-30 19:00:36,64.3833,-173.3,40.32,84,100,1.12
18,Rikitea,PF,2022-05-30 19:00:36,-23.1203,-134.9692,74.71,77,25,12.88
19,Ilulissat,GL,2022-05-30 19:00:36,69.2167,-51.1,36.84,77,77,3.56
20,Port Hedland,AU,2022-05-30 19:00:37,-20.3167,118.5667,57.25,94,100,17.27
21,Inirida,CO,2022-05-30 19:00:37,3.8653,-67.9239,88.21,58,76,1.86
22,Petropavlovsk-Kamchatskiy,RU,2022-05-30 19:00:37,53.0452,158.6483,34.39,100,75,2.24
23,Constitucion,CL,2022-05-30 18:58:43,-35.3333,-72.4167,52.16,49,0,9.15
24,Lompoc,US,2022-05-30 19:00:38,34.6391,-120.4579,69.94,62,0,27.0
25,Sheopur,IN,2022-05-30 19:00:38,25.6667,76.7,94.75,19,1,3.89
26,Juneau,US,2022-05-30 19:00:39,58.3019,-134.4197,65.84,72,0,1.43
27,Vila Velha,BR,2022-05-30 18:59:42,-20.3297,-40.2925,84.15,76,20,13.8
28,Ribeira Grande,PT,2022-05-30 19:00:39,38.5167,-28.7,63.0,77,40,33.38
29,Mataura,NZ,2022-05-30 19:00:40,-46.1927,168.8643,51.48,93,100,3.65
30,Cape Town,ZA,2022-05-30 18:55:59,-33.9258,18.4232,59.27,73,75,12.66
31,New Norfolk,AU,2022-05-30 19:00:41,-42.7826,147.0587,41.67,88,100,2.04
32,Meulaboh,ID,2022-05-30 19:00:41,4.1363,96.1285,76.42,88,71,4.88
33,Vanimo,PG,2022-05-30 19:00:42,-2.6741,141.3028,77.22,90,100,4.76
34,Saint-Pierre,RE,2022-05-30 19:00:42,-21.3393,55.4781,69.91,78,20,10.36
35,Baykit,RU,2022-05-30 19:00:42,61.67,96.37,53.29,80,100,7.34
36,Sioux Lookout,CA,2022-05-30 19:00:43,50.1001,-91.917,75.61,64,100,10.2
37,Mitzic,GA,2022-05-30 19:00:44,0.7821,11.549,70.05,97,85,1.86
38,Roi Et,TH,2022-05-30 19:00:44,15.75,103.75,81.48,80,76,4.92
39,Sampit,ID,2022-05-30 19:00:44,-2.5333,112.95,75.51,94,31,2.04
40,Khatanga,RU,2022-05-30 19:00:45,71.9667,102.5,28.83,86,78,7.85
41,Barrow,US,2022-05-30 19:00:45,71.2906,-156.7887,32.02,80,100,11.5
42,Tasiilaq,GL,2022-05-30 19:00:46,65.6145,-37.6368,33.96,89,53,4.99
43,Sinnamary,GF,2022-05-30 19:00:46,5.3833,-52.95,79.54,86,100,10.89
44,Sheoganj,IN,2022-05-30 19:00:47,25.15,73.0667,87.73,43,0,13.42
45,Tselinnoye,RU,2022-05-30 19:00:47,53.0833,85.6667,59.67,75,100,6.8
46,Ust-Ilimsk,RU,2022-05-30 19:01:48,58.0006,102.6619,51.42,69,100,5.86
